name,stargazers,primaryLanguage,issues
freeCodeCamp,{'totalCount': 310534},{'name': 'JavaScript'},"{'totalCount': 14384, 'nodes': [{'id': 'MDU6SXNzdWU1MjgzNDAyNg=='}, {'id': 'MDU6SXNzdWU1Mjg4MDU0Mw=='}, {'id': 'MDU6SXNzdWU1MzAwNzU0Mg=='}, {'id': 'MDU6SXNzdWU1MzE2NzcxOQ=='}, {'id': 'MDU6SXNzdWU1Mzg4NTQ5NQ=='}, {'id': 'MDU6SXNzdWU1Mzk0NjE1Nw=='}, {'id': 'MDU6SXNzdWU1NDA2MDY3OA=='}, {'id': 'MDU6SXNzdWU1NDA2MjYzMw=='}, {'id': 'MDU6SXNzdWU1NDA5NDQ0NA=='}, {'id': 'MDU6SXNzdWU1NDA5NDUyNA=='}]}"
996.ICU,{'totalCount': 249412},{'name': 'Rust'},"{'totalCount': 0, 'nodes': []}"
vue,{'totalCount': 163435},{'name': 'JavaScript'},"{'totalCount': 8982, 'nodes': [{'id': 'MDU6SXNzdWUxOTE1NjI4MQ=='}, {'id': 'MDU6SXNzdWUxOTE1NjI4NA=='}, {'id': 'MDU6SXNzdWUxOTE1NjI4Ng=='}, {'id': 'MDU6SXNzdWUxOTE1NjI5MA=='}, {'id': 'MDU6SXNzdWUxOTE1NjI5MQ=='}, {'id': 'MDU6SXNzdWUxOTE1NjMyMQ=='}, {'id': 'MDU6SXNzdWUxOTE1NjMzNQ=='}, {'id': 'MDU6SXNzdWUxOTkzMzI0Mw=='}, {'id': 'MDU6SXNzdWUxOTk1ODU5Mg=='}, {'id': 'MDU6SXNzdWUyMDM5ODkxMw=='}]}"
react,{'totalCount': 148190},{'name': 'JavaScript'},"{'totalCount': 9106, 'nodes': [{'id': 'MDU6SXNzdWUxNDkyMzk2OA=='}, {'id': 'MDU6SXNzdWUxNDkyNDc4Mw=='}, {'id': 'MDU6SXNzdWUxNDkzODQ5Mg=='}, {'id': 'MDU6SXNzdWUxNDk0ODE5MA=='}, {'id': 'MDU6SXNzdWUxNDk1MzcyNw=='}, {'id': 'MDU6SXNzdWUxNDk1NjA0MA=='}, {'id': 'MDU6SXNzdWUxNDk2MTI3Mg=='}, {'id': 'MDU6SXNzdWUxNTAzMTg1Mg=='}, {'id': 'MDU6SXNzdWUxNTAzODExNQ=='}, {'id': 'MDU6SXNzdWUxNTA0MDQxNg=='}]}"
free-programming-books,{'totalCount': 146787},,"{'totalCount': 427, 'nodes': [{'id': 'MDU6SXNzdWUyMDg4MzM1MQ=='}, {'id': 'MDU6SXNzdWUyMDkwMzQ2Mg=='}, {'id': 'MDU6SXNzdWUyMDkwOTA1MQ=='}, {'id': 'MDU6SXNzdWUyMDkyNTQ4Ng=='}, {'id': 'MDU6SXNzdWUyMDk1ODM2MA=='}, {'id': 'MDU6SXNzdWUyMDk5Njg3MQ=='}, {'id': 'MDU6SXNzdWUyMDk5Njk2MA=='}, {'id': 'MDU6SXNzdWUyMTAxNjAyMg=='}, {'id': 'MDU6SXNzdWUyMTA5NDczMA=='}, {'id': 'MDU6SXNzdWUyMTI0MDkyMA=='}]}"
tensorflow,{'totalCount': 143985},{'name': 'C++'},"{'totalCount': 24776, 'nodes': [{'id': 'MDU6SXNzdWUxMTU4ODYzMDI='}, {'id': 'MDU6SXNzdWUxMTU4OTQxMzg='}, {'id': 'MDU6SXNzdWUxMTU4OTY2NTY='}, {'id': 'MDU6SXNzdWUxMTU4OTg0NDk='}, {'id': 'MDU6SXNzdWUxMTU5MTA5MDA='}, {'id': 'MDU6SXNzdWUxMTU5MTE3MzU='}, {'id': 'MDU6SXNzdWUxMTU5MTIxMTE='}, {'id': 'MDU6SXNzdWUxMTU5MTQ0OTU='}, {'id': 'MDU6SXNzdWUxMTU5MTQ2OTE='}, {'id': 'MDU6SXNzdWUxMTU5MTQ3NjY='}]}"
bootstrap,{'totalCount': 140555},{'name': 'JavaScript'},"{'totalCount': 19236, 'nodes': [{'id': 'MDU6SXNzdWUxNDQ2Mzk4'}, {'id': 'MDU6SXNzdWUxNDQ2Njc2'}, {'id': 'MDU6SXNzdWUxNDQ3NjA1'}, {'id': 'MDU6SXNzdWUxNDQ3NjUy'}, {'id': 'MDU6SXNzdWUxNDQ3NzIz'}, {'id': 'MDU6SXNzdWUxNDQ4MTY4'}, {'id': 'MDU6SXNzdWUxNDQ4Mjc4'}, {'id': 'MDU6SXNzdWUxNDQ4MzQ1'}, {'id': 'MDU6SXNzdWUxNDQ4NDU1'}, {'id': 'MDU6SXNzdWUxNDQ4NjI0'}]}"
awesome,{'totalCount': 132519},,"{'totalCount': 249, 'nodes': [{'id': 'MDU6SXNzdWUzNzc0NTM3OQ=='}, {'id': 'MDU6SXNzdWUzODkwMjY1OA=='}, {'id': 'MDU6SXNzdWU0MjYwNjY2Nw=='}, {'id': 'MDU6SXNzdWU1MDU2OTI4MA=='}, {'id': 'MDU6SXNzdWU1NDYzMjE3Mg=='}, {'id': 'MDU6SXNzdWU2Njg3Nzk3NA=='}, {'id': 'MDU6SXNzdWU3MTk4OTcxMQ=='}, {'id': 'MDU6SXNzdWU3Mjc3NTU1MQ=='}, {'id': 'MDU6SXNzdWU3MzQ5NTc4NA=='}, {'id': 'MDU6SXNzdWU3NzAzMTQwMg=='}]}"
You-Dont-Know-JS,{'totalCount': 120861},,"{'totalCount': 832, 'nodes': [{'id': 'MDU6SXNzdWUyMjc3MzE4OA=='}, {'id': 'MDU6SXNzdWUyMjg5MDUwOQ=='}, {'id': 'MDU6SXNzdWUyMjk5MjUwNg=='}, {'id': 'MDU6SXNzdWUyMzA5ODMxNA=='}, {'id': 'MDU6SXNzdWUyNDY4MjkwNw=='}, {'id': 'MDU6SXNzdWUyNDY5MTM0MQ=='}, {'id': 'MDU6SXNzdWUyNDc0NzAzNA=='}, {'id': 'MDU6SXNzdWUyNDc0NzkyMw=='}, {'id': 'MDU6SXNzdWUyNTE4NDgyNg=='}, {'id': 'MDU6SXNzdWUyNTE4NDkyNQ=='}]}"
coding-interview-university,{'totalCount': 112830},,"{'totalCount': 113, 'nodes': [{'id': 'MDU6SXNzdWUxODE0Mjk0MzM='}, {'id': 'MDU6SXNzdWUxODE0OTE4MTg='}, {'id': 'MDU6SXNzdWUxODE1MDA1NzI='}, {'id': 'MDU6SXNzdWUxODE1ODMxMzQ='}, {'id': 'MDU6SXNzdWUxODE4MDkzMjg='}, {'id': 'MDU6SXNzdWUxODE4NzY2MzU='}, {'id': 'MDU6SXNzdWUxODE4ODYwNDk='}, {'id': 'MDU6SXNzdWUxODE4OTAzMDY='}, {'id': 'MDU6SXNzdWUxODIxMzA0Nzk='}, {'id': 'MDU6SXNzdWUxODIzMzY4ODE='}]}"
